Crop,Area intended for harvest (Hectares),Harvested area (Hectares),Quantity produced (tons),Average production yield (Kilograms per Hectare),Production value (Thousand Reals)
Total,5430947,5408413,..,..,75469757
Avocado,16497,16211,266784,16457,473236
Arboreal cotton (seed),-,-,-,-,-
Açaí,221508,221315,1478168,6679,4754806
Olive,1901,1894,2651,1400,7551
Banana (bunch),456992,455004,6637308,14587,8638598
Rubber (coagulated latex),165107,163254,376036,2303,961703
Rubber (liquid latex),...,...,...,...,...
Cocoa (in almond),589153,588501,269731,458,3223892
Coffee (beans) total,1907364,1898239,3700231,1949,27254184
Coffee (beans) Arabica,1509287,1508644,2829680,1876,22552514
Coffee (beans) Canephora,398077,389595,870551,2235,4701670
Cashew,...,...,...,...,...
Persimmon,8045,7933,158687,20003,344140
Cashew nuts,426185,426131,139921,328,451625
Indian tea (green leaf),207,207,2010,9710,1632
Coconut*,188801,187497,1639226,8743,1149030
Palm oil (coconut bunch),202157,201702,2867986,14219,814289
Yerba mate (green leaf),72122,69047,527546,7640,576805
Fig,2114,2114,19601,9272,113472
Guava,22025,21914,566293,25842,1001767
Guaraná (seed),10416,10405,2704,260,37088
Orange,574563,572698,16707897,29174,10898251
Lemon,58502,58438,1585215,27126,1761328
Apple,32468,32468,983247,30284,1728845
Papaya,28487,28450,1235003,43410,1112700
Mango,72027,71800,1569011,21853,1757602
Passion fruit,46530,46436,690364,14867,1370269
Quince,72,72,556,7722,2687
Walnut (dried fruit),3723,3712,4179,1126,44242
Heart of palm,27018,26855,110005,4096,282223
Pear,1078,1078,15363,14251,37454
Peach,15590,15588,201880,12951,456745
Black pepper,37376,37345,114749,3073,1066279
Sisal or agave (fiber),99015,99015,86061,869,282236
Tangerine,55632,55537,1026638,18486,1187969
Tungue (dried fruit),64,64,270,4219,269
Achiote (seed),13773,13763,13666,993,49091
Grape,74435,73726,1435596,19472,3627749
Fonte: IBGE - Produção Agrícola Municipal,,,,,
